date,searches,search string,search string cleaned,field searched,search type,active tab,resource type,signed in,on campus,type of query,reason no results,resource,meant,pensum,still 0 res?,spelling suggestion?,notes
2/8/2016,2,Climate Change Policy / Eleven International Publishing / Greenhouse Gas Emissions T,climate change policy eleven international publishing greenhouse gas emissions t,any / any / any,Keyword / Keyword / Keyword,default_tab,Articles,0,0,citation,pasted citation,book,,yes,no,n/a,"Not zero results, but the relevant item does not appear on page 1. Pensum: http://www.uio.no/studier/emner/jus/jus/JUR5911/v11/pensumliste/"
6/10/2016,2,cup of tea / rinnan,cup of tea rinnan,title / creator,Keyword / Keyword,default_tab,All items,0,2,citation,not indexed,article,,no,yes,n/a,"article is not indexed in Primo Central, but we have it"
1/16/2016,1,Teknikk eller relasjon i psykoterapi: En uhensiktsmessig dikotomi?.,teknikk eller relasjon i psykoterapi: en uhensiktsmessig dikotomi.,any,,default_tab,All items,1,1,title,not indexed,book chapter,,yes,yes,n/a,http://www.uio.no/studier/emner/sv/psykologi/PSYC4301/h15/pensumliste/
9/20/2015,1,Transcranial ultrasound (TUS) effects on mental states: a pilot study.,transcranial ultrasound (tus) effects on mental states: a pilot study.,any,,,Not specified,0,,title,_unknown,article,,no,no,n/a,
1/26/2016,1,"Berezdivin Ruben ""Fire and Logos: The Speech of Fire and its Contradictions""",berezdivin ruben fire and logos: the speech of fire and its contradictions,any,,default_tab,All items,0,1,citation,pasted citation,book chapter,,no,yes,n/a,chapter of book Heraclitean fragments : a companion volume to the Heidegger/Fink seminar on Heraclitus
11/18/2015,1,Erling lars dahøe,erling lars dahøe,any,,,Not specified,0,,author,misspelling,_unknown,,no,yes,no,"""ø"" is next to ""l"" on norwegian keyboards, so not unlikely that the intention was ""Erling Lars Dahle"""
9/1/2016,1,Easy talker + guitar + Reville,easy talker guitar reville,any,,default_tab,All items,0,0,citation,not available,book,,no,yes,n/a,Easy Talker: A Fluency Workbook for School-age Children
10/16/2015,1,"""Et bidrag til foreningens historie""",et bidrag til foreningens historie,any,,,Not specified,1,,title,wrong scope,book,,no,yes,n/a,1814 - 1914 : et bidrag til Foreningens historie
1/23/2016,1,Reichborn Kjennerud bukkehorn,reichborn kjennerud bukkehorn,any,,default_tab,All items,0,1,citation,_unknown,_unknown,,no,yes,n/a,
1/23/2016,1,Journal of Speech and Hearing Disorders,journal of speech and hearing disorders,,,default_tab,Not specified,0,1,title,system issue,journal,,_unknown,no,n/a,system error?
10/6/2015,1,"""bunker adjustment clause"" AND partially compensate",bunker adjustment clause and partially compensate,any,,,Not specified,0,,source text,_unknown,_unknown,,_unknown,yes,n/a,
1/10/2016,3,politimeddelelser,politimeddelelser,any,,default_tab,All items,3,0,title,wrong scope,journal,,_unknown,yes,n/a,
7/24/2016,1,"Fück, Hosea Kapital 3",fück hosea kapital 3,any,,default_tab,All items,0,1,citation,misspelling,article,,_unknown,yes,no,Hosea Kapitel 3
12/27/2015,1,wide band / hydroacoustic,wide band hydroacoustic,any / any,Keyword / Keyword,library_catalogue,All items,0,1,topic,_unknown,_unknown,,_unknown,no,n/a,
2/12/2016,1,"Claes, Dag Harald og Carl Henrik Knutsen (eds.). 2011. Governing the Global Economy Politic, Institutions and Economic Development",claes dag harald og carl henrik knutsen (eds.). 2011. governing the global economy politic institutions and economic development,any,Keyword,library_catalogue,Books,1,1,citation,pasted citation,book,,yes,yes,n/a,http://www.uio.no/studier/emner/sv/statsvitenskap/STV2220/v14/pensumliste/
9/6/2015,1,"*Flyvbjerg, B: ""Five Misunderstandings about Case-Study"" i Silverman, D. (red.): Qualitative Research Practice, 2004",flyvbjerg b: five misunderstandings about case study i silverman d. (red.): qualitative research practice 2004,any,,,Not specified,0,,citation,pasted citation,article,,yes,no,n/a,http://www.uio.no/studier/emner/sv/sv/OLA4020/h16/pensumliste/
5/22/2016,2,Macaro / Second laugage,macaro second laugage,creator / title,Keyword / Keyword,default_tab,All items,0,2,citation,misspelling,article,,yes,yes,no,"Macaro, E. (2003). Second language teachers as second language classroom researchers,"
9/27/2016,1,"""american hull clauses""",american hull clauses,any,,default_tab,All items,0,0,topic,not available,_unknown,,_unknown,yes,n/a,
11/24/2015,1,"""The nationalization of state interest group system density and diversity"" lowery gray",the nationalization of state interest group system density and diversity lowery gray,any,,,Not specified,0,,citation,pasted citation,article,,no,yes,n/a,"Whyyy? Works without quotes, but the title is exactly right!"
2/28/2016,1,norsk magasin for legevidenskaben,norsk magasin for legevidenskaben,any,,default_tab,All items,0,0,title,misspelling,journal,,no,yes,yes,Norsk magasin for lægevidenskaben
